id,indoor_outdoor,setting
1,indoor,dentist's office examination room
2,indoor,roadside diner
3,indoor,kitchen
4,outdoor,rooftop cocktail bar
5,outdoor,jungle clearing
6,outdoor,garden
7,indoor,pottery studio
8,indoor,garage workshop
9,indoor,living room
10,outdoor,outdoor climbing wall
11,outdoor,sandy beach
12,outdoor,street corner
13,indoor,airport departure lounge
14,indoor,library reading room
15,indoor,office desk
16,outdoor,construction site
17,outdoor,outdoor market stall
18,outdoor,park
19,indoor,sushi conveyor belt restaurant
20,indoor,mountain cabin interior
21,indoor,dining room
22,outdoor,vineyard row
23,outdoor,rooftop terrace
24,outdoor,parking lot
25,indoor,botanical greenhouse
26,indoor,subway platform
27,indoor,bedroom
28,outdoor,harbor fish market
29,outdoor,desert campsite
30,outdoor,backyard
31,indoor,university lecture hall
32,indoor,gym floor
33,indoor,hallway
34,outdoor,golf driving range
35,outdoor,harbor dock
36,outdoor,balcony
37,indoor,French bakery counter
38,indoor,farmhouse kitchen
39,indoor,bathroom
40,outdoor,open-air amphitheater
41,outdoor,cave entrance
42,outdoor,rooftop
43,indoor,chess club room
44,indoor,ski lodge
45,indoor,basement
46,outdoor,street food cart
47,outdoor,stone courtyard
48,outdoor,porch
49,indoor,laundromat
50,indoor,treehouse interior
51,indoor,attic
52,outdoor,outdoor swimming pool
53,outdoor,waterfall pool
54,outdoor,playground
55,indoor,wine cellar tasting room
56,indoor,barn interior
57,indoor,staircase
58,outdoor,cemetery
59,outdoor,covered bridge
60,outdoor,forest path
61,indoor,watchmaker's workbench
62,indoor,hospital ward
63,indoor,garage
64,outdoor,ski slope
65,outdoor,mountain summit
66,outdoor,driveway
67,indoor,florist shop counter
68,indoor,boxing gym
69,indoor,laundry room
70,outdoor,outdoor yoga deck
71,outdoor,rice paddy
72,outdoor,sidewalk
73,indoor,high school chemistry lab
74,indoor,cinema lobby
75,indoor,home office
76,outdoor,highway rest stop
77,outdoor,glacier
78,outdoor,field
79,indoor,manga cafe
80,indoor,art gallery
81,indoor,pantry
82,outdoor,outdoor sculpture garden
83,outdoor,coastal cliff
84,outdoor,alley
85,indoor,butcher's counter
86,indoor,hotel lobby
87,indoor,sunroom
88,outdoor,drive-in movie theater
89,outdoor,wheat field
90,outdoor,courtyard
91,indoor,indoor climbing gym
92,indoor,greenhouse nursery
93,indoor,mudroom
94,outdoor,outdoor flea market
95,outdoor,urban rooftop garden
96,outdoor,dock
97,indoor,tattoo parlor
98,indoor,train compartment
99,indoor,workshop
100,outdoor,outdoor basketball court
101,outdoor,river bend
102,outdoor,mountain trail
103,indoor,bicycle repair shop
104,indoor,recording booth
105,indoor,cellar
106,outdoor,lighthouse exterior
107,outdoor,savanna
108,outdoor,desert
109,indoor,cigar lounge
110,indoor,abandoned factory floor
111,indoor,conservatory
112,outdoor,outdoor wedding venue
113,outdoor,fishing pier
114,outdoor,lake shore
115,indoor,recording studio
116,indoor,underground bunker
117,indoor,nursery room
118,outdoor,archaeological dig site
119,outdoor,volcanic landscape
120,outdoor,canyon overlook
